Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-11-21 21:00:00'), Timestamp('2022-11-22 09:00:00'))",0 days 02:55:52,0 days 09:04:08
"(Timestamp('2022-11-22 21:00:00'), Timestamp('2022-11-23 09:00:00'))",0 days 04:50:22,0 days 07:09:38
"(Timestamp('2022-11-23 21:00:00'), Timestamp('2022-11-24 09:00:00'))",0 days 04:23:26,0 days 07:36:34
"(Timestamp('2022-11-24 21:00:00'), Timestamp('2022-11-25 09:00:00'))",0 days 06:13:13,0 days 05:46:47
"(Timestamp('2022-11-25 21:00:00'), Timestamp('2022-11-26 09:00:00'))",0 days 05:44:31,0 days 06:15:29
"(Timestamp('2022-11-26 21:00:00'), Timestamp('2022-11-27 09:00:00'))",0 days 00:03:18,0 days 11:56:42
"(Timestamp('2022-11-27 21:00:00'), Timestamp('2022-11-28 09:00:00'))",0 days 00:01:55,0 days 11:58:05
"(Timestamp('2022-11-28 21:00:00'), Timestamp('2022-11-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-29 21:00:00'), Timestamp('2022-11-30 09:00:00'))",0 days 00:00:17,0 days 11:59:43
"(Timestamp('2022-11-30 21:00:00'), Timestamp('2022-12-01 09:00:00'))",0 days 00:01:08,0 days 11:58:52
"(Timestamp('2022-12-01 21:00:00'), Timestamp('2022-12-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-02 21:00:00'), Timestamp('2022-12-03 09:00:00'))",0 days 00:00:08,0 days 11:59:52
"(Timestamp('2022-12-03 21:00:00'), Timestamp('2022-12-04 09:00:00'))",0 days 05:45:00,0 days 06:15:00
"(Timestamp('2022-12-04 21:00:00'), Timestamp('2022-12-05 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-05 21:00:00'), Timestamp('2022-12-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-06 21:00:00'), Timestamp('2022-12-07 09:00:00'))",0 days 00:01:57,0 days 11:58:03
"(Timestamp('2022-12-07 21:00:00'), Timestamp('2022-12-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-08 21:00:00'), Timestamp('2022-12-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-09 21:00:00'), Timestamp('2022-12-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-10 21:00:00'), Timestamp('2022-12-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-11 21:00:00'), Timestamp('2022-12-12 09:00:00'))",0 days 00:05:27,0 days 11:54:33
"(Timestamp('2022-12-12 21:00:00'), Timestamp('2022-12-13 09:00:00'))",0 days 02:57:23,0 days 09:02:37
"(Timestamp('2022-12-13 21:00:00'), Timestamp('2022-12-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-14 21:00:00'), Timestamp('2022-12-15 09:00:00'))",0 days 00:07:06,0 days 11:52:54
"(Timestamp('2022-12-15 21:00:00'), Timestamp('2022-12-16 09:00:00'))",0 days 00:09:19,0 days 11:50:41
"(Timestamp('2022-12-16 21:00:00'), Timestamp('2022-12-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-17 21:00:00'), Timestamp('2022-12-18 09:00:00'))",0 days 00:06:52,0 days 11:53:08
"(Timestamp('2022-12-18 21:00:00'), Timestamp('2022-12-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-19 21:00:00'), Timestamp('2022-12-20 09:00:00'))",0 days 00:00:09,0 days 11:59:51
"(Timestamp('2022-12-20 21:00:00'), Timestamp('2022-12-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-21 21:00:00'), Timestamp('2022-12-22 09:00:00'))",0 days 03:04:59,0 days 08:55:01
"(Timestamp('2022-12-22 21:00:00'), Timestamp('2022-12-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-23 21:00:00'), Timestamp('2022-12-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
